Original Model Parameters,Retrain or Addition,Dataset Increase Number,Binary Polymers Score,Terpolymer Test Score,Combined Test Score
"['hinge', 0.1]",Basis,0,0.8974358974358975,0.5061728395061729,0.6333333333333333
"['hinge', 0.1]",Retrain,1,0.7948717948717948,0.6790123456790124,0.7166666666666667
"['hinge', 0.1]",Addition,1,0.48717948717948717,0.9506172839506173,0.8
"['hinge', 0.1]",Retrain,2,0.7692307692307693,0.8271604938271605,0.8083333333333333
"['hinge', 0.1]",Addition,2,0.48717948717948717,0.9506172839506173,0.8
"['hinge', 0.1]",Retrain,3,0.8205128205128205,0.7530864197530864,0.775
"['hinge', 0.1]",Addition,3,0.48717948717948717,0.9506172839506173,0.8
"['hinge', 0.1]",Retrain,4,0.9743589743589743,0.7283950617283951,0.8083333333333333
"['hinge', 0.1]",Addition,4,0.48717948717948717,0.9506172839506173,0.8
"['hinge', 0.1]",Retrain,5,0.7435897435897436,0.9259259259259259,0.8666666666666667
"['hinge', 0.1]",Addition,5,0.48717948717948717,0.9506172839506173,0.8
"['hinge', 0.1]",Retrain,6,0.8974358974358975,0.7901234567901234,0.825
"['hinge', 0.1]",Addition,6,0.48717948717948717,0.9506172839506173,0.8
"['hinge', 0.1]",Retrain,7,0.6666666666666666,0.9506172839506173,0.8583333333333333
"['hinge', 0.1]",Addition,7,0.48717948717948717,0.9506172839506173,0.8
"['hinge', 0.1]",Retrain,8,0.5641025641025641,0.9506172839506173,0.825
"['hinge', 0.1]",Addition,8,0.48717948717948717,0.9506172839506173,0.8
"['hinge', 0.1]",Retrain,9,0.7435897435897436,0.9382716049382716,0.875
"['hinge', 0.1]",Addition,9,0.48717948717948717,0.9506172839506173,0.8
"['hinge', 0.1]",Retrain,10,0.6153846153846154,0.9506172839506173,0.8416666666666667
"['hinge', 0.1]",Addition,10,0.48717948717948717,0.9506172839506173,0.8
"['log_loss', 0.1]",Basis,0,0.8205128205128205,0.3333333333333333,0.49166666666666664
"['log_loss', 0.1]",Retrain,1,0.7948717948717948,0.7037037037037037,0.7333333333333333
"['log_loss', 0.1]",Addition,1,0.48717948717948717,0.9506172839506173,0.8
"['log_loss', 0.1]",Retrain,2,0.6923076923076923,0.8888888888888888,0.825
"['log_loss', 0.1]",Addition,2,0.48717948717948717,0.9506172839506173,0.8
"['log_loss', 0.1]",Retrain,3,0.9230769230769231,0.5679012345679012,0.6833333333333333
"['log_loss', 0.1]",Addition,3,0.48717948717948717,0.9506172839506173,0.8
"['log_loss', 0.1]",Retrain,4,0.7692307692307693,0.8765432098765432,0.8416666666666667
"['log_loss', 0.1]",Addition,4,0.48717948717948717,0.9506172839506173,0.8
"['log_loss', 0.1]",Retrain,5,0.8461538461538461,0.8641975308641975,0.8583333333333333
"['log_loss', 0.1]",Addition,5,0.48717948717948717,0.9506172839506173,0.8
"['log_loss', 0.1]",Retrain,6,0.8717948717948718,0.8271604938271605,0.8416666666666667
"['log_loss', 0.1]",Addition,6,0.48717948717948717,0.9506172839506173,0.8
"['log_loss', 0.1]",Retrain,7,0.9487179487179487,0.7037037037037037,0.7833333333333333
"['log_loss', 0.1]",Addition,7,0.48717948717948717,0.9506172839506173,0.8
"['log_loss', 0.1]",Retrain,8,0.5641025641025641,0.9506172839506173,0.825
"['log_loss', 0.1]",Addition,8,0.48717948717948717,0.9506172839506173,0.8
"['log_loss', 0.1]",Retrain,9,0.5641025641025641,0.9506172839506173,0.825
"['log_loss', 0.1]",Addition,9,0.48717948717948717,0.9506172839506173,0.8
"['log_loss', 0.1]",Retrain,10,0.8461538461538461,0.9012345679012346,0.8833333333333333
"['log_loss', 0.1]",Addition,10,0.48717948717948717,0.9506172839506173,0.8
"['perceptron', 0.0001]",Basis,0,0.7435897435897436,0.7283950617283951,0.7333333333333333
"['perceptron', 0.0001]",Retrain,1,0.717948717948718,0.8765432098765432,0.825
"['perceptron', 0.0001]",Addition,1,0.48717948717948717,0.9506172839506173,0.8
"['perceptron', 0.0001]",Retrain,2,0.8974358974358975,0.6049382716049383,0.7
"['perceptron', 0.0001]",Addition,2,0.8461538461538461,0.6666666666666666,0.725
"['perceptron', 0.0001]",Retrain,3,0.6923076923076923,0.9506172839506173,0.8666666666666667
"['perceptron', 0.0001]",Addition,3,0.5128205128205128,0.9506172839506173,0.8083333333333333
"['perceptron', 0.0001]",Retrain,4,0.8717948717948718,0.8888888888888888,0.8833333333333333
"['perceptron', 0.0001]",Addition,4,0.5641025641025641,0.9382716049382716,0.8166666666666667
"['perceptron', 0.0001]",Retrain,5,0.8717948717948718,0.8765432098765432,0.875
"['perceptron', 0.0001]",Addition,5,0.5897435897435898,0.8888888888888888,0.7916666666666666
"['perceptron', 0.0001]",Retrain,6,0.5641025641025641,0.9506172839506173,0.825
"['perceptron', 0.0001]",Addition,6,0.5897435897435898,0.9012345679012346,0.8
"['perceptron', 0.0001]",Retrain,7,0.8717948717948718,0.8271604938271605,0.8416666666666667
"['perceptron', 0.0001]",Addition,7,0.7948717948717948,0.7654320987654321,0.775
"['perceptron', 0.0001]",Retrain,8,0.8205128205128205,0.9506172839506173,0.9083333333333333
"['perceptron', 0.0001]",Addition,8,0.48717948717948717,0.9506172839506173,0.8
"['perceptron', 0.0001]",Retrain,9,0.8717948717948718,0.9259259259259259,0.9083333333333333
"['perceptron', 0.0001]",Addition,9,0.5384615384615384,0.9506172839506173,0.8166666666666667
"['perceptron', 0.0001]",Retrain,10,0.717948717948718,0.9506172839506173,0.875
"['perceptron', 0.0001]",Addition,10,0.5641025641025641,0.9382716049382716,0.8166666666666667
